x,y,z
3625.0,28625.0,90.5
3875.0,28625.0,88.30000305
4125.0,28625.0,87.0
4375.0,28625.0,86.0
4625.0,28625.0,86.0
4875.0,28625.0,85.0
5125.0,28625.0,93.16000366
5375.0,28625.0,97.66000366
5625.0,28625.0,96.94999695
5875.0,28625.0,91.11000061
6125.0,28625.0,88.08999634
6375.0,28625.0,89.25
6625.0,28625.0,88.37000275
6875.0,28625.0,90.0
7125.0,28625.0,87.91000366
7375.0,28625.0,86.81999969
7625.0,28625.0,86.91000366
7875.0,28625.0,85.81999969
8125.0,28625.0,84.91000366
8375.0,28625.0,83.61000061
8625.0,28625.0,83.0
8875.0,28625.0,-16.403999354999996
9125.0,28625.0,10.640001295000001
9375.0,28625.0,27.214998245
9625.0,28625.0,26.95549965
9875.0,28625.0,32.82800007
10125.0,28625.0,38.31399989
10375.0,28625.0,41.287
10625.0,28625.0,42.161499975
10875.0,28625.0,42.454501865
11125.0,28625.0,41.465499995
11375.0,28625.0,40.496500015
11625.0,28625.0,38.551499995
11875.0,28625.0,36.84200001
12125.0,28625.0,34.984000205
12375.0,28625.0,33.104499815
12625.0,28625.0,31.18149996
12875.0,28625.0,29.302998545
13125.0,28625.0,27.642499920000002
13375.0,28625.0,25.705499645000003
13625.0,28625.0,24.182002065
13875.0,28625.0,22.21899986
14125.0,28625.0,21.540500644999998
14375.0,28625.0,25.213752745
14625.0,28625.0,26.24264908
14875.0,28625.0,30.602300645
15125.0,28625.0,27.07940102
15375.0,28625.0,23.497049335
15625.0,28625.0,20.970100405
15875.0,28625.0,20.960502625
16125.0,28625.0,20.618299485
16375.0,28625.0,19.37989998
16625.0,28625.0,17.77194977
16875.0,28625.0,17.24425125
17125.0,28625.0,17.75804901
17375.0,28625.0,17.983898165
17625.0,28625.0,17.993902205
17875.0,28625.0,18.124702455
18125.0,28625.0,17.95639992
18375.0,28625.0,71.41000366
18625.0,28625.0,69.58999634
18875.0,28625.0,68.30000305
19125.0,28625.0,67.91000366
19375.0,28625.0,67.0
19625.0,28625.0,67.38999939
19875.0,28625.0,72.02999878
20125.0,28625.0,82.88999939
20375.0,28625.0,89.58999634
20625.0,28625.0,97.13999939
20875.0,28625.0,99.87000275
21125.0,28625.0,99.37000275
125.0,28375.0,156.289993295
375.0,28375.0,146.36999511
625.0,28375.0,151.979995715
875.0,28375.0,153.75
1125.0,28375.0,149.36999511
1375.0,28375.0,140.86999511
1625.0,28375.0,129.57000731
1875.0,28375.0,116.11000060500001
2125.0,28375.0,108.680000305
2375.0,28375.0,106.76999662
2625.0,28375.0,108.87000277499999
2875.0,28375.0,108.680000305
3125.0,28375.0,101.63999939499999
3375.0,28375.0,96.98000336
3625.0,28375.0,90.88999939
3875.0,28375.0,88.80000305
4125.0,28375.0,87.38999939
